name_formal,state,gov_type,country_code,official_count,term_length,url,upcoming_election,ue_remarks,ue_url_1,special,runoff,lat,lon,next_election_display
Killeen City Council,TX,LOCAL,US,8,2 years,http://www.killeentexas.gov/153/City-Council,2022-05-07 05:00:00+00:00,At-large + Mayor,http://killeentexas.gov/153/City-Council,False,False,31.077293682062894,-97.7287514081938,"May 07, 2022"
Denton City Council,TX,LOCAL,US,7,2 years,https://www.cityofdenton.com/government/city-officials/city-council,2022-05-07 05:00:00+00:00,"Mayor, 2 At-large",,False,False,33.208602042350904,-97.13302461102921,"May 07, 2022"
Lubbock City Council,TX,LOCAL,US,7,"2 years (Mayor), 4 years (Council)",https://ci.lubbock.tx.us/pages/city-government/city-council,2022-05-07 05:00:00+00:00,"Districts 1, 3, 5",,False,False,33.560973331112095,-101.89059076104964,"May 07, 2022"
Sugar Land City Council,TX,LOCAL,US,7,2 years,https://www.sugarlandtx.gov/160/Mayor-City-Council,2022-05-07 05:00:00+00:00,Mayor and 2 at-large positions,,False,False,29.59293554898028,-95.63462102015225,"May 07, 2022"
Round Rock City Council,TX,LOCAL,US,7,3 years,https://www.roundrocktexas.gov/about/city-council/,2022-05-07 05:00:00+00:00,Place 2 and Place 6,,False,False,30.5253925639165,-97.66611286836232,"May 07, 2022"
Abilene City Council,TX,LOCAL,US,7,3 years,https://www.abilenetx.gov/526/City-Council,2022-05-07 05:00:00+00:00,"place 5, place 6",https://abilenetx.gov/309/Elections,False,False,32.4542801997807,-99.73840044279189,"May 07, 2022"
Tyler City Council,TX,LOCAL,US,7,2 years,https://www.cityoftyler.org/government/government/mayor-and-council,2022-05-07 05:00:00+00:00,"Districts 2, 4, 6 and Mayor",https://www.cityoftyler.org/Departments/CityClerk/Elections.aspx,False,False,32.316911273097105,-95.30337688310681,"May 07, 2022"
Arlington City Council,TX,LOCAL,US,8,2 years,http://www.arlington-tx.gov/citycouncil/,2022-05-07 05:00:00+00:00,"Council seats 1 and 2, and two at-large seats (6 and 7)",,False,False,32.69802586173272,-97.1230952560109,"May 07, 2022"
Irving City Council,TX,LOCAL,US,8,3 years,https://www.cityofirving.org/210/Meet-Your-Mayor-and-Council,2022-05-07 05:00:00+00:00,"Places 1, 2, and 7",,False,False,32.853748792009235,-96.96687914584416,"May 07, 2022"
Allen City Council,TX,LOCAL,US,7,3 years,https://www.cityofallen.org/917/Allen-City-Council,2022-05-07 05:00:00+00:00,"Places 4, 6",,False,False,33.10877457111427,-96.67351515153686,"May 07, 2022"
Arlington Mayor,TX,LOCAL,US,1,2 years,https://www.arlingtontx.gov/city_hall/government/mayor,2022-05-07 05:00:00+00:00,"Council seats 1 and 2, and two at-large seats (6 and 7)",,False,False,32.69802586173272,-97.1230952560109,"May 07, 2022"
Waco City Council,TX,LOCAL,US,6,2 years,http://www.waco-texas.com/council.asp,2022-05-07 05:00:00+00:00,"Districts 1, 3 and Mayor",,False,False,31.552912032180217,-97.16462092430793,"May 07, 2022"
Pearland City Council,TX,LOCAL,US,7,3 years,https://www.pearlandtx.gov/government/city-council,2022-05-07 05:00:00+00:00,"Districts 3, 7 and Mayor",,False,False,29.55851866077036,-95.3200788346492,"May 07, 2022"
Lewisville City Council,TX,LOCAL,US,5,3 years,https://www.cityoflewisville.com/about-us/mayor-and-council/city-council-bios,2022-05-07 05:00:00+00:00,Places 4 and 5,,False,False,33.04527001162522,-96.98234200937068,"May 07, 2022"
Grand Prairie City Council,TX,LOCAL,US,9,3 years,https://www.gptx.org/city-government/mayor-and-city-council,2022-05-07 05:00:00+00:00,"Districts 2, District 4, Mayor",https://www.gptx.org/city-government/city-secretary/elections,False,False,32.69317065740715,-97.0168625319254,"May 07, 2022"
Garland City Council,TX,LOCAL,US,9,2 years,https://www.garlandtx.gov/758/City-Council,2022-05-07 05:00:00+00:00,"Mayor, and Districts 1, 2, 4, 5",,False,False,32.906459709077566,-96.63440619853634,"May 07, 2022"
Newark Mayor,NJ,LOCAL,US,1,4 years,https://www.newarknj.gov/city-mayor,2022-05-10 05:00:00+00:00,Mayor and all seats,http://www.essexclerk.com/Election/,False,False,40.73327122951785,-74.18111405729537,"May 10, 2022"
Paterson Mayor,NJ,LOCAL,US,1,4 years,https://www.patersonnj.gov/department/index.php?structureid=2,2022-05-10 05:00:00+00:00,at large council seats and Mayor,,False,False,40.914716281089085,-74.16261109003644,"May 10, 2022"
Tempe City Council,AZ,LOCAL,US,7,4 years,https://www.tempe.gov/government/mayor-and-city-council,2022-05-10 05:00:00+00:00,3 councilmembers,https://www.tempe.gov/government/city-clerk-s-office/election-information,False,False,33.38811956756197,-111.93177781999955,"May 10, 2022"
Paterson City Council,NJ,LOCAL,US,9,4 years,https://www.patersonnj.gov/council/,2022-05-10 05:00:00+00:00,at large council seats and Mayor,,False,False,40.914716281089085,-74.16261109003644,"May 10, 2022"
Newark City Council,NJ,LOCAL,US,9,4 years,https://www.newarknj.gov/council-members,2022-05-10 05:00:00+00:00,Mayor and all seats,http://www.essexclerk.com/Election/,False,False,40.73327122951785,-74.18111405729537,"May 10, 2022"
Eugene City Council,OR,LOCAL,US,8,4 years,https://www.eugene-or.gov/537/Mayor-and-City-Council,2022-05-17 05:00:00+00:00,"District 3, 4, 5, 6",,False,False,44.05705149428787,-123.1130074402584,"May 17, 2022"
Cary Town Council,NC,LOCAL,US,7,4 years,http://www.townofcary.org/mayor-council/town-council,2022-05-17 05:00:00+00:00,"1 At-large, A, C",,False,False,35.78199991740102,-78.816338536679,"May 17, 2022"
Australia Senate,,NATIONAL,AS,76,,https://www.aph.gov.au/about_parliament/senate,2022-05-21 05:00:00+00:00,On or before 21 May 2022 (half-Senate),,False,False,-32.78892032346271,144.4216431501352,"May 21, 2022"
Columbus City Council,GA,LOCAL,US,10,4 years,http://www.columbusga.org/council/council.htm,2022-05-24 05:00:00+00:00,Mayor and odd district seats,,False,False,32.50145043456661,-84.92398365588406,"May 24, 2022"
Columbus Mayor,GA,LOCAL,US,1,4 years,https://www.columbusga.gov/mayor/,2022-05-24 05:00:00+00:00,Mayor and odd district seats,,False,False,32.50145043456661,-84.92398365588406,"May 24, 2022"
Mayor of Athens-Clarke County,GA,LOCAL,US,1,4 years,https://www.accgov.com/mayor,2022-05-24 05:00:00+00:00,mayor + odd districts,,False,False,33.9507099417212,-83.37702314991344,"May 24, 2022"
Commission of Athens-Clarke County,GA,LOCAL,US,10,4 years,https://www.accgov.com/168/Commission-Information-Biographies,2022-05-24 05:00:00+00:00,mayor + odd districts,,False,False,33.9507099417212,-83.37702314991344,"May 24, 2022"
